"t","v1","v2","v3","v4","v5","v6","v7","v8","v9","v10","v11","v12","v13","v14","v15","v16","v17","v18","v19","v20","v21","v22","v23","v24","v25","v26","v27","v28","v29","v30"
0,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.7,-0.145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.4,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.1,-0.095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.8,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.5,-0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.2,0.055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.9,-0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.6,0.035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.3,-0.035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.7,-0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
