"t","v1","v2","v3","v4","v5","v6","v7","v8","v9","v10","v11","v12","v13","v14","v15","v16","v17","v18","v19","v20","v21","v22","v23","v24","v25","v26","v27","v28","v29","v30"
,1,0.872664625997165,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.5,1.46461195971552,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,2.26829794483018,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2.5,2.86903438683999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,3.54982220744609,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3.5,4.18879020478639,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,5.15015189113081,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4.5,5.60998688141034,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5,6.68423968848892,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5.5,6.90459923865889,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6,7.85398163397448,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6.5,8.37758040957278,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7,9.10606566257911,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7.5,9.66643893412244,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8,10.471975511966,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8.5,11.0231321178589,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9,11.85506661732,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9.5,12.8228271575094,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10,13.9626340159546,,,,,,,,,,,,,,,,,,,,,,,,,,,,
